TIME,R-JOINT-P1,L-JOINT-P1,R-JOINT-P2,L-JOINT-P2,R-JOINT-P3,L-JOINT-P3,R-JOINT-P4,L-JOINT-P4,R-JOINT-P5,L-JOINT-P5,R-JOINT-P6,L-JOINT-P6,R-JOINT-P7,L-JOINT-P7,R-JOINT-V1,L-JOINT-V1,R-JOINT-V2,L-JOINT-V2,R-JOINT-V3,L-JOINT-V3,R-JOINT-V4,L-JOINT-V4,R-JOINT-V5,L-JOINT-V5,R-JOINT-V6,L-JOINT-V6,R-JOINT-V7,L-JOINT-V7,R-CART1,L-CART1,R-CART2,L-CART2,R-CART3,L-CART3,
1.00004,0.896686,-0.966169,-1.12013,-1.2956,-2.17066,2.17721,0.15821,-0.174869,1.36327,-0.0167261,0.106575,0.254968,1.73211,1.74927,-8.1664e-06,-7.32423e-06,3.64326e-06,2.34901e-05,-5.71885e-06,-5.21891e-06,-2.26815e-05,1.97737e-05,-1.54437e-05,-4.07498e-06,-7.43355e-06,2.03747e-05,-1.21095e-07,1.36285e-05,0.162512,0.13459,-0.381409,0.426966,0.133947,0.0980468,
1.02504,0.896686,-0.966169,-1.12013,-1.29559,-2.17066,2.17721,0.158212,-0.174871,1.36327,-0.0167261,0.106575,0.254968,1.73211,1.74927,-5.42929e-06,-5.18847e-06,-2.36397e-05,2.94044e-05,1.60636e-05,-2.00817e-05,1.47418e-05,-1.17706e-05,-8.42587e-08,-3.65412e-06,-6.69698e-06,1.35458e-05,-1.1267e-05,7.9499e-06,0.162512,0.13459,-0.381408,0.426967,0.133947,0.0980472,
1.05004,0.896686,-0.966169,-1.12013,-1.29559,-2.17066,2.17721,0.158212,-0.174871,1.36327,-0.0167261,0.106575,0.254968,1.73211,1.74927,-5.42929e-06,-5.18847e-06,-2.36397e-05,2.94044e-05,1.60636e-05,-2.00817e-05,1.47418e-05,-1.17706e-05,-8.42587e-08,-3.65412e-06,-6.69698e-06,1.35458e-05,-1.1267e-05,7.9499e-06,0.162512,0.13459,-0.381408,0.426967,0.133947,0.0980472,
1.07504,0.896686,-0.966169,-1.12013,-1.29559,-2.17066,2.17721,0.158213,-0.174869,1.36327,-0.0167261,0.106575,0.254971,1.7321,1.74927,-1.2107e-05,6.0259e-06,1.50742e-05,6.06457e-06,-8.83888e-06,1.70983e-05,7.0745e-06,-1.14121e-05,1.42976e-05,4.95828e-06,-2.34022e-05,2.8398e-05,-5.45277e-05,2.96202e-05,0.162512,0.134589,-0.381408,0.426966,0.133947,0.0980471,
1.10004,0.896684,-0.966169,-1.12013,-1.29559,-2.17066,2.17721,0.158213,-0.174871,1.36327,-0.0167261,0.106575,0.254966,1.7321,1.74927,-2.42388e-05,-4.50919e-06,-1.20451e-06,1.3284e-06,-1.39189e-05,-1.85168e-05,5.61653e-06,-1.9937e-05,2.17592e-05,5.80087e-06,-1.54779e-05,-2.77154e-05,-2.60653e-05,-9.28916e-06,0.162512,0.134589,-0.381408,0.426966,0.133947,0.0980471,
1.12504,0.896684,-0.966169,-1.12013,-1.29559,-2.17066,2.17721,0.158213,-0.174871,1.36327,-0.0167261,0.106575,0.254966,1.7321,1.74927,-2.42388e-05,-4.50919e-06,-1.20451e-06,1.3284e-06,-1.39189e-05,-1.85168e-05,5.61653e-06,-1.9937e-05,2.17592e-05,5.80087e-06,-1.54779e-05,-2.77154e-05,-2.60653e-05,-9.28916e-06,0.162511,0.13459,-0.381408,0.426967,0.133947,0.0980473,
1.15004,0.896686,-0.966171,-1.12013,-1.2956,-2.17066,2.17721,0.158212,-0.174869,1.36327,-0.0167232,0.106575,0.254971,1.73211,1.74927,3.13908e-07,-3.98458e-05,-4.43238e-06,-1.70131e-05,-1.06325e-05,-1.18182e-05,-1.46656e-05,8.86031e-06,3.7876e-06,3.27113e-05,-9.87861e-06,3.24766e-05,7.36971e-06,3.04546e-05,0.162511,0.13459,-0.381408,0.426965,0.133947,0.098046,
1.17504,0.896686,-0.966171,-1.12013,-1.2956,-2.17066,2.17721,0.158212,-0.174869,1.36327,-0.0167232,0.106575,0.254971,1.73211,1.74927,3.13908e-07,-3.98458e-05,-4.43238e-06,-1.70131e-05,-1.06325e-05,-1.18182e-05,-1.46656e-05,8.86031e-06,3.7876e-06,3.27113e-05,-9.87861e-06,3.24766e-05,7.36971e-06,3.04546e-05,0.162511,0.13459,-0.381408,0.426965,0.133947,0.098046,
1.20004,0.896686,-0.966171,-1.12013,-1.2956,-2.17066,2.17721,0.158213,-0.174871,1.36327,-0.0167261,0.106577,0.254968,1.73211,1.74927,8.80307e-06,-4.20231e-05,-8.03368e-06,-1.39902e-05,-2.05476e-05,-9.70548e-06,-8.55083e-06,-2.53275e-05,2.50008e-05,1.36208e-06,8.98789e-06,8.39943e-06,1.68447e-05,-2.62937e-05,0.162511,0.13459,-0.381408,0.426966,0.133947,0.0980462,
1.22504,0.896686,-0.966171,-1.12013,-1.2956,-2.17066,2.17721,0.158213,-0.174871,1.36327,-0.0167261,0.106577,0.254968,1.73211,1.74927,8.80307e-06,-4.20231e-05,-8.03368e-06,-1.39902e-05,-2.05476e-05,-9.70548e-06,-8.55083e-06,-2.53275e-05,2.50008e-05,1.36208e-06,8.98789e-06,8.39943e-06,1.68447e-05,-2.62937e-05,0.162511,0.13459,-0.381408,0.426966,0.133947,0.0980462,
1.25004,0.896686,-0.966169,-1.12013,-1.29559,-2.17066,2.17721,0.158213,-0.174869,1.36327,-0.0167261,0.106575,0.254971,1.7321,1.74927,5.85257e-06,2.74023e-05,-1.44509e-05,4.24874e-06,-1.02861e-05,1.87065e-05,-2.67738e-05,-1.84888e-05,1.96501e-05,8.80383e-06,-2.15713e-06,1.09576e-05,-7.23643e-06,-3.33045e-05,0.162512,0.134589,-0.381408,0.426966,0.133947,0.0980471,
